
> radioos@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:51397
- Network:       http://10.141.159.200:51397
- Environments: .env.local
✓ Ready in 1601ms
✓ Running next.config.ts took 161ms
 GET / 200 in 3.4s (next.js: 2.2s, proxy.ts: 230ms, application-code: 1036ms)
 GET / 200 in 456ms (next.js: 18ms, proxy.ts: 17ms, application-code: 422ms)
 GET / 200 in 714ms (next.js: 26ms, proxy.ts: 19ms, application-code: 669ms)
 GET /login 200 in 833ms (next.js: 377ms, proxy.ts: 10ms, application-code: 445ms)
 GET / 200 in 722ms (next.js: 29ms, proxy.ts: 20ms, application-code: 673ms)
 GET /login 200 in 279ms (next.js: 129ms, proxy.ts: 44ms, application-code: 106ms)
 POST /login 200 in 107ms (next.js: 17ms, proxy.ts: 15ms, application-code: 75ms)
  └─ ƒ signInWithGoogle() in 30ms src/lib/supabase/actions.ts
 GET /login 200 in 329ms (next.js: 16ms, proxy.ts: 15ms, application-code: 298ms)
 GET /register 200 in 541ms (next.js: 459ms, proxy.ts: 15ms, application-code: 67ms)
✓ Compiled in 1705ms
 GET /register 200 in 1779ms (next.js: 1255ms, proxy.ts: 331ms, application-code: 192ms)
 GET /login 200 in 740ms (next.js: 51ms, proxy.ts: 10ms, application-code: 679ms)
 GET /login 200 in 815ms (next.js: 31ms, proxy.ts: 21ms, application-code: 763ms)
 GET /login 200 in 675ms (next.js: 35ms, proxy.ts: 24ms, application-code: 615ms)
 GET /login 200 in 625ms (next.js: 36ms, proxy.ts: 27ms, application-code: 561ms)
 GET /login 200 in 619ms (next.js: 76ms, proxy.ts: 24ms, application-code: 520ms)
 GET /login 200 in 739ms (next.js: 40ms, proxy.ts: 22ms, application-code: 677ms)
 GET /login 200 in 898ms (next.js: 33ms, proxy.ts: 18ms, application-code: 847ms)
 GET /login 200 in 924ms (next.js: 38ms, proxy.ts: 27ms, application-code: 858ms)
 GET /login 200 in 938ms (next.js: 48ms, proxy.ts: 22ms, application-code: 869ms)
 GET /login?verified=true 200 in 1155ms (next.js: 45ms, proxy.ts: 16ms, application-code: 1094ms)
 GET /login 200 in 1226ms (next.js: 166ms, proxy.ts: 28ms, application-code: 1032ms)
 POST /register 200 in 5.0s (next.js: 851ms, proxy.ts: 209ms, application-code: 3.9s)
  └─ ƒ signUp({}) in 2159ms src/lib/supabase/actions.ts
 GET /login?verified=true 200 in 763ms (next.js: 285ms, proxy.ts: 30ms, application-code: 448ms)
 GET /login 200 in 1215ms (next.js: 48ms, proxy.ts: 35ms, application-code: 1132ms)
 GET /login 200 in 1383ms (next.js: 51ms, proxy.ts: 25ms, application-code: 1306ms)
 GET /login?verified=true 200 in 1660ms (next.js: 75ms, proxy.ts: 143ms, application-code: 1442ms)
 GET /login 200 in 1554ms (next.js: 193ms, proxy.ts: 25ms, application-code: 1336ms)
 GET /login?verified=true 200 in 1682ms (next.js: 84ms, proxy.ts: 240ms, application-code: 1358ms)
 GET /login 200 in 1460ms (next.js: 159ms, proxy.ts: 41ms, application-code: 1260ms)
